Id_No,Sl_No,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price_Date
34,35,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,06-04-2010
33,34,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,07-04-2010
31,32,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,08-04-2010
30,31,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,09-04-2010
1644,1645,Bhatinda,Sangat,Wheat,Other,FAQ,1100,1100,1100,10-04-2010
962,963,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,11-04-2010
960,961,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,12-04-2010
1618,1619,Bhatinda,Sangat,Wheat,Other,FAQ,1100,1100,1100,13-04-2010
1064,1065,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1100,1100,1100,14-04-2010
1061,1062,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1100,1100,1100,15-04-2010
23,24,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,16-04-2010
1783,1784,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,17-04-2010
1149,1150,Bhatinda,Rampuraphul(Chowke),Wheat,Other,FAQ,1100,1100,1100,18-04-2010
304,305,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,19-04-2010
1556,1557,Bhatinda,Sangat,Wheat,Other,FAQ,1100,1105,1100,20-04-2010
1546,1547,Bhatinda,Sangat,Wheat,Other,FAQ,1100,1105,1100,21-04-2010
276,277,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,22-04-2010
13,14,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,23-04-2010
258,259,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,24-04-2010
249,250,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,25-04-2010
498,499,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,26-04-2010
1203,1204,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1100,1100,1100,27-04-2010
223,224,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,28-04-2010
1719,1720,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,29-04-2010
1194,1195,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1100,1100,1100,30-04-2010
416,417,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,01-05-2010
995,996,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,02-05-2010
1267,1268,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1100,1100,1100,03-05-2010
986,987,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,04-05-2010
1843,1844,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,05-05-2010
978,979,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,06-05-2010
386,387,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,07-05-2010
1256,1257,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1100,1100,1100,08-05-2010
635,636,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,09-05-2010
1820,1821,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,10-05-2010
1073,1074,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1100,1100,1100,11-05-2010
1160,1161,Bhatinda,Rampuraphul(Chowke),Wheat,Other,FAQ,1100,1100,1100,12-05-2010
1803,1804,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,13-05-2010
601,602,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,14-05-2010
591,592,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,15-05-2010
582,583,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,16-05-2010
105,106,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,17-05-2010
565,566,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,18-05-2010
501,502,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,25-05-2010
602,603,Bhatinda,Maur,Wheat,Other,FAQ,1100,1105,1100,14-06-2010
592,593,Bhatinda,Maur,Wheat,Other,FAQ,1100,1140,1100,15-06-2010
469,470,Bhatinda,Maur,Wheat,Other,FAQ,1120,1140,1130,29-06-2010
662,663,Bhatinda,Maur,Wheat,Other,FAQ,1100,1140,1100,05-07-2010
654,655,Bhatinda,Maur,Wheat,Other,FAQ,1100,1130,1100,06-07-2010
32,33,Bhatinda,Bathinda,Wheat,Other,FAQ,1600,1900,1700,07-09-2010
656,657,Bhatinda,Maur,Wheat,Other,FAQ,1300,1500,1400,05-11-2010
206,207,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1450,1400,31-01-2011
393,394,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,06-02-2011
387,388,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,07-02-2011
381,382,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,08-02-2011
374,375,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,09-02-2011
369,370,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,10-02-2011
361,362,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,11-02-2011
348,349,Bhatinda,Bhucho,Wheat,Other,FAQ,1110,1150,1110,13-02-2011
342,343,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,14-02-2011
320,321,Bhatinda,Bhucho,Wheat,Other,FAQ,1100,1150,1100,17-02-2011
319,320,Bhatinda,Bhucho,Wheat,Other,FAQ,1000,1000,1000,17-03-2011
252,253,Bhatinda,Bhucho,Wheat,Other,FAQ,1000,1100,1000,24-03-2011
25,26,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,14-04-2011
336,337,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,15-04-2011
22,23,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,16-04-2011
323,324,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,17-04-2011
788,789,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,18-04-2011
780,781,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,19-04-2011
95,96,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,20-04-2011
284,285,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,21-04-2011
754,755,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,22-04-2011
1522,1523,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,23-04-2011
739,740,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,24-04-2011
67,68,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,25-04-2011
1501,1502,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,26-04-2011
230,231,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,27-04-2011
1487,1488,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,28-04-2011
1,2,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1125,1120,29-04-2011
0,1,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1125,1120,30-04-2011
158,159,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1170,1170,1170,01-05-2011
1700,1701,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,02-05-2011
868,869,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,03-05-2011
1684,1685,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,04-05-2011
856,857,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,05-05-2011
391,392,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,06-05-2011
1664,1665,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,07-05-2011
836,837,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,08-05-2011
1652,1653,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,09-05-2011
126,127,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,10-05-2011
360,361,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,11-05-2011
1625,1626,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,12-05-2011
118,119,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,13-05-2011
807,808,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,14-05-2011
1596,1597,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,15-05-2011
327,328,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,16-05-2011
1576,1577,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,17-05-2011
100,101,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,18-05-2011
1558,1559,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1120,1120,19-05-2011
767,768,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,20-05-2011
1538,1539,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,21-05-2011
1525,1526,Bhatinda,Sangat,Wheat,Other,FAQ,1120,1125,1120,22-05-2011
742,743,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,23-05-2011
251,252,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,24-05-2011
241,242,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,25-05-2011
233,234,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,26-05-2011
710,711,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,27-05-2011
703,704,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,28-05-2011
691,692,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,30-05-2011
690,691,Bhatinda,Raman,Wheat,Other,FAQ,1120,1120,1120,31-05-2011
155,156,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,900,1100,1050,02-08-2011
430,431,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,17-04-2012
940,941,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1285,1285,1285,18-04-2012
1911,1912,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1285,1285,1285,19-04-2012
292,293,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,20-04-2012
1761,1762,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1285,1285,1285,21-04-2012
1898,1899,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1285,1285,1285,22-04-2012
78,79,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,23-04-2012
256,257,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,24-04-2012
247,248,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,25-04-2012
1123,1124,Bhatinda,Rampuraphul(Chowke),Wheat,Other,FAQ,1285,1285,1285,26-04-2012
1873,1874,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1285,1285,1285,27-04-2012
1868,1869,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1285,1285,1285,28-04-2012
700,701,Bhatinda,Raman,Wheat,Other,FAQ,1285,1285,1285,29-04-2012
40,41,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,30-04-2012
1467,1468,Bhatinda,Rampuraphul(Nabha Mandi),Wheat,Other,FAQ,1285,1285,1285,01-05-2012
1699,1700,Bhatinda,Sangat,Wheat,Other,FAQ,1285,1285,1285,02-05-2012
1369,1370,Bhatinda,Rampuraphul(Mehraj),Wheat,Other,FAQ,1285,1285,1285,03-05-2012
1455,1456,Bhatinda,Rampuraphul(Nabha Mandi),Wheat,Other,FAQ,1285,1285,1285,04-05-2012
661,662,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,05-05-2012
653,654,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,06-05-2012
1940,1941,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1285,1285,1285,07-05-2012
1937,1938,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1285,1285,1285,08-05-2012
128,129,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,09-05-2012
366,367,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,10-05-2012
1633,1634,Bhatinda,Sangat,Wheat,Other,FAQ,1285,1285,1285,11-05-2012
435,436,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,12-05-2012
609,610,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,13-05-2012
806,807,Bhatinda,Raman,Wheat,Other,FAQ,1285,1285,1285,14-05-2012
432,433,Bhatinda,Goniana,Wheat,Other,FAQ,1285,1285,1285,15-05-2012
1786,1787,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1285,1285,1285,16-05-2012
1236,1237,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1285,1285,1285,17-05-2012
1053,1054,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1285,1285,1285,18-05-2012
553,554,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,19-05-2012
287,288,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,20-05-2012
1412,1413,Bhatinda,Rampuraphul(Nabha Mandi),Wheat,Other,FAQ,1285,1285,1285,21-05-2012
526,527,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,22-05-2012
517,518,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,23-05-2012
733,734,Bhatinda,Raman,Wheat,Other,FAQ,1285,1285,1285,24-05-2012
500,501,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,25-05-2012
232,233,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,26-05-2012
483,484,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,27-05-2012
1720,1721,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1285,1285,1285,28-05-2012
885,886,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1285,1285,1285,29-05-2012
1276,1277,Bhatinda,Rampuraphul(Mehraj),Wheat,Other,FAQ,1285,1285,1285,30-05-2012
1710,1711,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1285,1285,1285,31-05-2012
1381,1382,Bhatinda,Rampuraphul(Mehraj),Wheat,Other,FAQ,1285,1285,1285,01-06-2012
682,683,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,02-06-2012
675,676,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,03-06-2012
669,670,Bhatinda,Maur,Wheat,Other,FAQ,1285,1285,1285,04-06-2012
637,638,Bhatinda,Maur,Wheat,Other,FAQ,800,900,850,08-09-2012
109,110,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1280,1280,1280,16-10-2012
559,560,Bhatinda,Maur,Wheat,Other,FAQ,1280,1280,1280,18-10-2012
542,543,Bhatinda,Maur,Wheat,Other,FAQ,1280,1280,1280,20-10-2012
630,631,Bhatinda,Maur,Wheat,Other,FAQ,1280,1280,1280,09-11-2012
560,561,Bhatinda,Maur,Wheat,Other,FAQ,1280,1280,1280,18-11-2012
363,364,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,11-04-2013
355,356,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,12-04-2013
434,435,Bhatinda,Goniana,Wheat,Other,FAQ,1350,1350,1350,14-04-2013
595,596,Bhatinda,Maur,Wheat,Other,FAQ,1350,1350,1350,15-04-2013
110,111,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,16-04-2013
1426,1427,Bhatinda,Rampuraphul(Nabha Mandi),Wheat,Other,FAQ,1350,1350,1350,17-04-2013
787,788,Bhatinda,Raman,Wheat,Other,FAQ,1350,1350,1350,18-04-2013
934,935,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1350,1350,1350,19-04-2013
1766,1767,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1350,1350,1350,20-04-2013
1543,1544,Bhatinda,Sangat,Wheat,Other,FAQ,1350,1355,1350,21-04-2013
1530,1531,Bhatinda,Sangat,Wheat,Other,FAQ,1350,1355,1350,22-04-2013
745,746,Bhatinda,Raman,Wheat,Other,FAQ,1350,1350,1350,23-04-2013
